name,description
735.1,Flat foot
735.2,Acquired toe deformities
735.21,Hammer toe (acquired)
735.23,Hallux rigidus
735.3,Hallux valgus (Bunion)
736,Other acquired deformities of limbs
736.2,Acquired deformities of finger
736.3,Acquired deformities of hip
736.5,Acquired deformities of knee
736.6,Unequal leg length (acquired)
737,Curvature of spine
737.1,Kyphosis (acquired)
737.2,Lordosis (acquired)
737.3,Kyphoscoliosis and scoliosis
738,Other acquired musculoskeletal deformity
738.4,Acquired spondylolisthesis
739,Contracture of joint
740.1,Osteoarthritis; localized
740.11,"Osteoarthrosis, localized, primary"
740.12,"Osteoarthrosis, localized, secondary"
740.2,"Osteoarthrosis, generalized"
740.3,"Osteoarthrosis involving more than one site, but not specified as generalized"
740.9,Osteoarthrosis NOS
741,Symptoms and disorders of the joints
741.1,Ankylosis of joint
741.2,Stiffness of joint
741.3,Difficulty in walking
741.4,Joint effusions
741.5,Hemarthrosis
742,"Derangement of joint, non-traumatic"
742.1,Loose body in joint
742.2,"Pathological, developmental or recurrent dislocation"
742.8,Articular cartilage disorder
742.9,Other derangement of joint
743.11,Osteoporosis NOS
743.13,Other specified osteoporosis
743.2,Pathologic fracture
743.21,Pathologic fracture of vertebrae
743.22,Pathologic fracture of femur
743.4,Stress fracture
743.9,Osteopenia or other disorder of bone and cartilage
745,Pain in joint
747,Cardiac and circulatory congenital anomalies
747.1,Cardiac congenital anomalies
747.11,Cardiac shunt/ heart septal defect
747.12,Valvular heart disease/ heart chambers
747.13,Congenital anomalies of great vessels
747.2,Congenital anomalies of peripheral vascular system
748,"Anomalies of respiratory system, congenital"
749,Congenital anomalies of face and neck
749.2,Congenital anomalies of skull and face bones
750,Digestive congenital anomalies
750.1,Upper gastrointestinal congenital anomalies
750.11,Esophageal atresia/tracheoesophageal fistula
750.13,Congenital anomalies of mouth/tongue
750.14,Congenital anomalies of esophagus
750.15,Congenital anomalies of stomach
750.21,Congenital anomalies of intestine
750.22,"Congenital anomaly of gallbladder, bile ducts, liver, pancreas"
751.1,Congenital anomalies of genital organs
751.11,Congenital anomalies of female genital organs
751.12,Congenital anomalies of male genital organs
751.2,Congenital anomalies of urinary system
751.21,Cystic kidney disease
751.22,Other specified congenital anomalies of kidney
751.3,Obstructive genitourinary defect
752,Nervous system congenital anomalies
752.1,Neural tube defects
752.11,Spina bifida
752.2,Other specified congenital anomalies of nervous system
753,Congenital anomalies of the eye
753.1,Congenital cataract and lens anomalies
754,Congenital musculoskeletal deformities of spine
754.1,"Lumbosacral spondylolysis, congenital"
754.2,"Spondylolisthesis, congenital"
755.1,Congenital deformities of feet
755.3,Congenital anomaly of fingers/toes
755.4,"Congenital anomalies of upper limb, including shoulder girdle"
755.6,"Other congenital anomalies of lower limb, including pelvic girdle"
755.61,Congenital hip dysplasia and deformity
756,Other congenital musculoskeletal anomalies
756.1,Congenital anomalies of abdominal wall; diaphram
756.21,Pectus excavatum
756.3,"Congenital anomalies of muscle, tendon, fascia, and connective tissue"
756.5,Congenital osteodystrophies
758,Chromosomal anomalies and genetic disorders
758.1,Chromosomal anomalies
759,Other and unspecified congenital anomalies
759.1,"Anomalies of endocrine glands, congenital"
760,Back pain
761,Cervicalgia
763,"Thoracic or lumbosacral neuritis or radiculitis, unspecified"
764,Sciatica
765,Cervical radiculitis
766,"Neuralgia, neuritis, and radiculitis NOS"
770,Myalgia and myositis unspecified
771,Musculoskeletal symptoms referable to limbs
771.1,Swelling of limb
771.2,Cramp of limb
772,Symptoms of the muscles
772.1,Muscular wasting and disuse atrophy
772.2,Spasm of muscle
772.3,Muscle weakness
772.4,Rhabdomyolysis
772.6,Facial weakness
780,Hypothermia/Chills
781,Symptoms involving nervous and musculoskeletal systems
782.3,Edema
782.6,Pallor and flushing
783,Fever of unknown origin
783.1,Postprocedural fever
785,Abdominal pain
788,Syncope and collapse
789,Nausea and vomiting
789.1,Persistent vomiting
790,Nonspecific findings on examination of blood
790.1,Elevated sedimentation rate
790.6,Other abnormal blood chemistry
790.8,Elevated C-reactive protein (CRP)
790.9,Abnormal arterial blood gases
791,Gangrene
792,Abnormal Papanicolaou smear of cervix and cervical HPV
792.1,Papanicolaou smear of cervix or vagina with atypical squamous cells
794,"Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)"
795.8,Abnormal tumor markers
795.81,Elevated carcinoembryonic antigen [CEA]
795.82,Elevated cancer antigen 125 [CA 125]
796,Elevated prostate specific antigen [PSA]
797,Shock
797.1,Cardiogenic shock
798,Malaise and fatigue
798.1,Chronic fatigue syndrome
800,Fracture of lower limb
800.1,Fracture of neck of femur
800.2,Fracture of unspecified part of femur
800.3,Fracture of tibia and fibula
800.4,Fracture of patella
801,Fracture of ankle and foot
801.1,Fracture of foot
802,Fracture of pelvis
803,Fracture of upper limb
803.1,Fracture of humerus
803.2,Fracture of radius and ulna
803.21,Colles' fracture
803.3,Fracture of clavicle or scapula
804,Fracture of hand or wrist
805,Fracture of vertebral column without mention of spinal cord injury
807,Fracture of ribs
809,Fracture of unspecified bones
816,Cerebral laceration and contusion
817,Concussion
818,Intracranial hemorrhage (injury)
818.1,Subdural hemorrhage (injury)
818.2,Subarachnoid hemorrhage (injury)
819,Skull and face fracture and other intercranial injury
830,Dislocation
835,Internal derangement of knee
836,Traumatic arthropathy
840,Sprains and strains
840.1,Muscle/tendon sprain
840.2,Rotator cuff (capsule) sprain
840.3,Joint/ligament sprain
841,Sprains and strains of back and neck
842,Other sprains and strains
850,Hemorrhage or hematoma complicating a procedure
851,Complications of transplants and reattached limbs
853,Complication of colostomy or enterostomy
854,"Complications of cardiac/vascular device, implant, and graft"
855,"Complication of nervous system device, implant, and graft"
856,Vascular complications of surgery and medical procedures
857,"Mechanical complication of unspecified genitourinary device, implant, and graft"
858,Complication of internal orthopedic device
859,Complication due to other implant and internal device
860,Bone marrow or stem cell transplant
870,Open wounds of head; neck; and trunk
870.1,Open wound or laceration of eye or eyelid
870.2,Open wound of ear
870.3,Other open wound of head and face
870.4,Open wound of nose and sinus
870.5,Open wound of lip and mouth
870.6,Open wound of neck
870.8,Open wound of genital organs
871,Open wounds of extremities
871.1,Open wound of hand except finger(s)
871.2,Open wound of finger(s)
871.3,Open wound of foot except toe(s) alone
871.4,Open wound of toe(s)
872,Traumatic amputation
874,Complication of amputation stump
875,Non-healing surgical wound
876,Posttraumatic wound infection not elsewhere classified
907,Injuries to the nervous system
910,"Superficial injury, infected"
911,Blister
912,Insect bite
913,Toxic effect of venom
916,Contusion
930,Allergic reaction to food
931,Contact dermatitis and other eczema due to plants [except food]
938,Dermatitis due to solar radiation
938.1,Acute dermatitis due to solar radiation
939,Atopic/contact dermatitis due to other or unspecified
941,Adverse reaction to serum or vaccine
942,Infusion and transfusion reaction
946,Anaphylactic shock NOS
947,Urticaria
949,"Allergies, other"
949.1,Diaper or napkin rash
952,Spinal cord injury without evidence of spinal bone injury
958,Certain early complications of trauma or procedure
958.1,Postoperative shock
958.2,Traumatic and surgical subcutaneous emphysema
960,Poisoning by antibiotics
960.1,Adverse effects of antibacterials (not penicillins)
960.2,Allergy/adverse effect of penicillin
960.3,Poisoning by antifungal antibiotics
961,Poisoning by other anti-infectives
961.1,Poisoning/allergy of sulfonamides
962,Poisoning by hormones and synthetic substitutes
962.1,Adrenal cortical steroids causing adverse effects in therapeutic use
962.2,Insulins and antidiabetic agents causing adverse effects in therapeutic use
962.3,Hormones and synthetic substitutes causing adverse effects in therapeutic use
963,Poisoning by primarily systemic agents
963.1,Antineoplastic and immunosuppressive drugs causing adverse effects
964,Poisoning by agents primarily affecting blood constituents
964.1,Anticoagulants causing adverse effects
965,"Poisoning by analgesics, antipyretics, and antirheumatics"
965.1,Opiates and related narcotics causing adverse effects in therapeutic use
965.2,Antirheumatics causing adverse effects in therapeutic use
965.3,Salicylates causing adverse effects in therapeutic use
966,Poisoning by anticonvulsants and anti-Parkinsonism drugs
967,Adverse effects of sedatives or other central nervous system depressants and anesthetics
969,Poisoning by psychotropic agents
971,Poisoning by drugs primarily affecting the autonomic nervous system
972,Poisoning by agents primarily affecting the cardiovascular system
972.1,Cardiac rhythm regulators causing adverse effects in therapeutic use
972.2,Antilipemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use
972.6,Antihypertensive agents causing adverse effects
973,Poisoning by agents primarily affecting the gastrointestinal system
974,"Poisoning by water, mineral, and uric acid metabolism drugs"
975,Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system
976,"Poisoning by agents primarily affecting skin & mucous membrane, ophthalmological, otorhinolaryngological, & dental drugs"
977,Personal history of allergy to medicinal agents
979,Adverse drug events and drug allergies
980,Encounter for long-term (current) use of antibiotics
981,Toxic effect of (non-ethyl) alcohol and petroleum and other solvents
983,"Toxic effect of corrosive aromatics, acids, and caustic alkalis"
985,Toxic effect of other metals
986,Toxic effect of carbon monoxide
987,"Toxic effect of other gases, fumes, or vapors"
989,"Toxic effect of other substances, chiefly nonmedicinal as to source"
990,Effects radiation NOS
994.1,Systemic inflammatory response syndrome (SIRS)
994.2,Sepsis
994.21,Septic shock
C0000268,BOL
C0000294,mesna
C0000378,droxidopa
C0000392,BETA ALANINE
C0000477,DALFAMPRIDINE
C0000481,Gamma Butyrolactone
C0000503,hydroxybutyrate
C0000578,HYDROXYTRYPTOPHAN
C0000589,examiner
C0000608,Epsilon
C0000618,6-MP
C0000665,toxine
C0000726,abdominal
C0000727,acute abdomen
C0000729,abdominal cramping
C0000731,abdominal distention
C0000734,abdominal mass
C0000735,abdominal tumor
C0000737,abdominal pains
C0000739,abdominal muscles
C0000741,abductor digiti minimi
C0000765,excessive weight gain
C0000786,miscarriages
C0000809,recurrent miscarriages
C0000814,missed abortion
C0000817,Septic abortion
C0000820,Therapeutic abortion
C0000821,threatened abortion
C0000828,reaction
C0000832,Placental abruption
C0000833,abscess
C0000887,acantholysis
C0000889,acanthosis nigricans
C0000894,acceleration
C0000905,accessory nerve
C0000912,fire
C0000921,Falls
C0000924,accident
C0000925,cut
C0000930,Industrial Accident
C0000932,motor vehicle accident
C0000934,acclimation
C0000946,acebutolol
C0000962,acetabulum
C0000970,-acetaminophen
C0000975,Acetate
C0000979,acetate
C0000981,acetazolamide
C0000983,Acetic Acid
C0001002,acetone
C0001040,7. acetylcarnitine
C0001041,Acetylcholine
C0001046,acetylcholinesterase inhibitor
C0001047,acetylcysteine 20
C0001061,N-ACETYLPROCAINAMIDE
C0001074,Achilles
C0001075,achlorhydria
C0001118,acid base imbalance
C0001122,acidoses
C0001125,7) Lactic acidosis
C0001126,RTA
C0001127,Respiratory Acidosis
C0001139,acinetobacter infection
C0001144,acne
C0001162,eighth cranial nerve
C0001164,auditory stimulation
C0001175,o HIV/AIDS
C0001197,acrodermatitis
C0001198,her disease
C0001206,acromegaly
C0001209,acromio
C0001261,Actinomyces Infection
C0001275,carbon
C0001306,alcoholic hepatitis
C0001311,acute bronchiolitis
C0001314,"Disease, Acute"
C0001327,laryngitis
C0001339,"pancreatitis, acute"
C0001344,acute pharyngitis
C0001349,Acute phase reaction
C0001363,acute mesenteric ischemia
C0001367,acyclovir
C0001403,hypocortisolism
C0001416,ADENITIS
C0001418,adenocarcinoma. He
C0001420,papillary adenocarcinoma
C0001422,adenofibroma
C0001425,adenoidectomy
C0001428,adenoidal
C0001430,adenoma
C0001443,mg adenosine
C0001455,cyclic AMP
C0001465,amp
C0001486,Adenovirus
C0001511,adhesions
C0001512,adhesive bandage
C0001514,adhesive tape
C0001520,Adipex
C0001539,Adjustment disorder with depressed mood
C0001546,adjustment disorder
C0001551,immunomodulator
C0001559,inhalant
C0001563,PO administration
C0001575,adnexal
C0001613,cortical
C0001614,Cortex
C0001617,corticoid
C0001621,adrenal disease
C0001622,hyperadrenal
C0001623,-renal failure
C0001624,adrenal tumor
C0001625,adrenal glands
C0001627,Adrenal Hyperplasia
C0001629,medullary
C0001632,adrenalectomy
C0001637,Adrenergic
C0001641,alpha blockers
C0001645,Beta blocker
C0001655,Adrenocorticotropic hormone
C0001683,advance directive
C0001701,AEROBIC
C0001707,air swallowing
C0001714,Polymyxin B sulfate
C0001721,affect
C0001727,Afferent loop syndrome
C0001733,"Afibrinogenemia
2"
C0001758,after treatment
C0001762,after images
C0001771,agar
C0001787,related osteoporosis
C0001811,paging
C0001815,myelofibrosis
C0001816,agnosia
C0001818,agoraphobia
C0001824,granulocytopenia
C0001825,agraphia
C0001849,AIDS dementia
C0001852,AIDS serologies
C0001861,air
C0001883,Airway obstruction
C0001884,Raw
C0001889,coma vigil
C0001911,c albendazole
C0001916,albinism
C0001925,albuminuria
C0001927,Albuterol
C0001933,Alcian Blue
C0001957,DTs
C0001962,alcohol
C0001964,-Propanolol
C0001969,heavy drinker
C0001973,Alcoholism
C0001975,Alcohol
C0002006,aldosterone
C0002007,aldosterone antagonist
C0002018,Alexi
C0002045,algorithm
C0002062,alkaloids
C0002063,alkalosis
C0002064,Respiratory alkalosis
C0002066,alkaptonuria
C0002144,Allopurinol
C0002170,Alopecia
C0002191,alph-1-antitrypsin
C0002199,Interferon Alfa
C0002260,"qHD
EFLORNITHINE"
C0002272,altase
C0002312,Thalassemia
C0002328,hydroxyprogesterone
C0002333,7. Alprazolam
C0002335,PGE1
C0002351,altitude sickness
C0002367,aluminum
C0002371,Aluminum hydroxide
C0002374,Alumina
C0002386,alveolar process
C0002390,hypersensitivity pneumonia
C0002393,Alveoloplasty
C0002395,-Alzheimers Dementia
C0002403,6. Amantadine
C0002416,ambidextrous
C0002418,amblyopia
C0002422,ambulance
C0002423,outpatient for outpatient
C0002428,outpatient surgeons
C0002448,ameloblastoma
C0002453,cessation of menses
C0002467,am element
C0002475,mitomycin
C0002499,AMIKACIN
C0002502,Amiloride
C0002520,"g
amino acids"
C0002546,aminocaproic acid
C0002556,aminoglycosides
C0002563,ala
C0002575,of aminophylline
C0002598,Amiodarone
C0002600,amitriptylline
C0002607,ammonia
C0002615,Ammonium Chloride
C0002621,thermotherapy
C0002622,memory loss
C0002624,retrograde amnesia
C0002625,amnestic disorder
C0002627,amniocentesis
C0002631,amnionitis
C0002636,amniotic band syndrome
C0002638,liquor
C0002644,amoxapine
C0002645,Amoxicillin
C0002658,SPEED
C0002667,amphetamine
C0002679,amphotericin b
C0002680,Ampicillin
C0002688,amputation
C0002691,above-knee amputation
C0002692,below knee amputation
C0002694,traumatic amputation
C0002697,Amrinone
C0002699,AMSA
C0002708,amygdala
C0002711,amyl nitrites
C0002712,AMYLASE
C0002726,1)Amyloidosis
C0002736,Amytrophic lateral sclerosis
C0002752,Anafranil
C0002760,anal sphincter
C0002763,stimulants
C0002766,pain relieved
C0002768,asymbolia
C0002769,epidural analgesia
C0002771,Pain medicine
C0002772,opioid analgesics
C0002792,ANAPHYLAXIS
C0002793,dedifferentiation
C0002797,anaplasmosis
C0002802,Anaspaz
C0002804,roux-en
C0002842,antiandrogen
C0002844,androgenic
C0002845,anabolic
C0002871,Anemia
C0002873,anemia of chronic disease
C0002874,"Aplastic Anemia
4"
C0002875,Mediteranean Anemia
C0002876,CDA
C0002878,Hemolytic Anemia
C0002884,hypochromic anemia
C0002886,Macrocytic Anemia
C0002888,megaloblastic
C0002890,leukoerythroblastic
C0002891,neonatal anemia
C0002892,pernicious anemia
C0002893,anemia refractory
C0002894,RAEB
C0002895,scds
C0002896,sideroblastic anemias
C0002903,anaesthesia
C0002905,anesthesia and analgesia
C0002911,regional anesthesia
C0002912,Anesthesia
C0002913,epidural anesthesia
C0002915,general anesthesia
C0002919,endotracheal anesthesia
C0002921,local anesthesia
C0002928,spinal anesthesia
C0002932,anesthetize
C0002940,aneurysm
C0002949,artery dissection
C0002957,danger
C0002959,Angioectasia
C0002962,angina
C0002963,Prinzmetal's angina
C0002965,unstable angina
C0002971,cardiac angiography
C0002978,angiogram
C0002979,digital subtraction angiography
C0002985,angiokeratoma
C0002986,Fabry's disease
C0002991,dermatofibroma
C0002992,angiomatosis
C0002994,angioedema
C0002996,Balloon angioplasty
C0002997,coronary angioplasty
C0003009,angiotensin
C0003015,ACE inhibitor
C0003018,-Angiotensin
C0003028,aphoresis
C0003044,animal bites
C0003047,minimal disease
C0003074,ANION GAP
C0003079,anisocoria
C0003086,ankles
C0003090,ankylosis
C0003113,anomia
C0003123,Anorexia
C0003125,anorexia nervosa
C0003126,anosmia
C0003130,Anoxia
C0003138,antacids
C0003143,Phenazoline
C0003162,Anthracis
C0003165,anthracosis
C0003175,anthraxis
C0003191,anti-rheumatic drugs
C0003195,anti-arrhythmic
C0003204,anti-infective
C0003205,antiseptic
C0003209,anti-inflammatory
C0003211,NSAID
C0003232,w/antibiotics
C0003234,to anthracycline
C0003237,antibiotics
C0003238,antibiotic combinations
C0003240,macrolide antibiotic
C0003241,ANTIBODIES
C0003277,cholesterol lowering drugs
C0003280,blood thinner
C0003281,anticoagulate
C0003286,Anticonvulsant
C0003289,and antidepressants
C0003290,tricyclics
C0003292,on antidiarrheals
C0003295,antidotes
C0003297,Anti-emetics
C0003299,antiepileptic
C0003304,antifibrinolytic
C0003308,antifungal
C0003364,antihypertensives
C0003374,antimalarials
C0003379,mitotic inhibitor
C0003385,antimuscarinic
C0003392,chemotherapeutic
C0003402,Antioxidant
C0003404,parasitic
C0003405,parkinsonian
C0003410,ANTIPLASMIN
C0003416,Antiprotozoal
C0003417,pruritic agents
C0003419,antipyretic
C0003431,antisocial personality disorder
C0003438,antithrombin
C0003440,Antithrombin
C0003442,ATG
C0003445,Antitoxin
C0003448,tuberculosis
C0003449,cough suppressants
C0003451,antiviral
C0003460,anuria
C0003461,anal
C0003462,Anus
C0003467,anxious
C0003469,Anxiety
C0003477,separation anxiety
C0003483,aortic
C0003484,abdominal aorta
C0003486,aortic aneurysms
C0003489,aortic arch
C0003493,aortic disease
C0003496,aortic rupture
C0003501,Aortic Valve
C0003504,aortic regurgitation
C0003505,aortic valve prolapse
C0003506,Aortic Valve Replacement
C0003507,aortic valve stenosis
C0003509,aortitis
C0003511,syphilitic aortitis
C0003515,aortogram
C0003537,aphasia
C0003550,Broca Aphasia
C0003564,aphonia
C0003578,apnea
C0003611,"appendectomy.
7"
C0003614,tumor of appendix
C0003615,appendicitis
C0003617,Vermiform appendix
C0003618,appetite
C0003620,anorexia
C0003635,apraxia
C0003641,aprotinin
C0003645,apt
C0003707,subarachnoid
C0003708,Arachnoiditis
C0003742,arcus senilis
C0003753,Urecholine
C0003765,L-Arginine
C0003793,Upper Extremity
C0003794,arm injury
C0003808,arousal
C0003811,arrhythmia
C0003813,sinus arrhythmia
C0003818,arsenic
C0003830,trihexyphenidyl
C0003834,arterial insufficiency
C0003835,Aterial line
C0003838,arterial obstructive disease
C0003840,arterial phase
C0003842,arteries
C0003844,arteriography via
C0003847,arterioles
C0003850,and arteriosclerosis
C0003851,atherosclerosis obliterans
C0003860,arteritis
C0003862,arthralgias
C0003864,5. Arthritis
C0003868,Gouty arthritis
C0003869,Septic Arthritis
C0003872,psoriatic arthritis
C0003873,"rheumatoid
arthritis"
C0003875,viral arthritis
C0003881,arthrodesis
C0003885,arthrogram
C0003886,arthrogryposis
C0003892,charcot joint
C0003893,"arthroplasty.
No"
C0003904,Arthroscopies
C0003910,articulation
C0003911,articulate
C0003921,artificial tears
C0003943,"or
arytenoid"
C0003944,personality
C0003948,asbestos exposure
C0003949,asbestos
C0003956,ascending aorta
C0003962,ascites
C0003964,peritoneal fluid
C0003968,vitamin
C0003969,deficiency of vitamin
C0003974,asepsis
C0003993,"to
L-asparaginase"
C0003999,aspartame
C0004030,Aspergillosis
C0004031,ABPA
C0004044,asphyxiation
C0004048,breathing
C0004052,aspiration of vomitus
C0004056,aspiration
C0004057,ACETYLSALICYLIC ACID 650
C0004058,aspirin allergy
C0004063,assault
C0004083,Association
C0004090,astasia-abasia
C0004091,Astatine
C0004093,weakness
C0004095,eye strain
C0004096,ASTHMA
C0004099,exercise induced asthma
C0004106,astigmatism
C0004110,stringent
C0004114,o astrocytoma
C0004116,gastrology
C0004134,ataxia
C0004144,atelectasis
C0004147,Atenolol
C0004148,theroids
C0004153,5. Atherosclerosis
C0004155,Atherosclerosis
C0004158,athetosis
C0004161,athletic injury
C0004170,atlas
C0004185,atomizer
C0004234,Atracurium
C0004238,afib
C0004239,atrial flutter
C0004245,AV block
C0004247,AV node
C0004259,tropin
C0004260,Atropine
C0004261,Hyoscyamine sulfate
C0004268,attention
C0004271,attitude
C0004286,audiometry
C0004309,Listened
C0004331,Atrioventricular dissociation
C0004339,ascultation
C0004352,-autism
C0004364,autoimmune disorders
C0004377,automatisms
C0004398,autopsy
C0004448,Aware
C0004454,axilla
C0004455,axillary artery
C0004456,axillary vein
C0004457,Axis
C0004475,Azacitidine
C0004482,azathioprine
C0004521,aztreonam
C0004526,azygos vein
C0004576,Babesiosis
C0004599,9. Bacitracin
C0004600,back
C0004601,back injury
C0004604,and back pain
C0004609,-baclofen
C0004610,bacteremia
C0004618,Bacterial
C0004623,bacterial infections
C0004626,bacterial pneumonia
C0004632,bacteria
C0004635,bactericidal
C0004659,Bacteriuria
C0004690,Balanitis
C0004691,balanoposthitis
C0004704,ballooning
C0004708,balloon valvuloplasty
C0004712,concentric sclerosis
C0004726,bandage
C0004754,Barium Sulfate
C0004760,barotrauma
C0004763,Barrett's esophagous
C0004764,barrier methods
C0004766,bartholin gland abscess
C0004767,Bartholin cyst
C0004768,Bartholin gland
C0004771,Bartonella infection
C0004775,Bartter syndrome
C0004779,basal cell nevus syndrome
C0004781,basal ganglia
C0004782,basal ganglia disease
C0004811,basilar artery
C0004812,Basilar insufficiency
C0004814,basioccipital
C0004816,hilar membrane
C0004836,sauna
C0004886,BCG vaccine
C0004895,beak
C0004903,Wiedemann Syndrome
C0004905,3. Beclomethasone
C0004906,BECLOMETHASONE DIPROP
C0004910,bedrest
C0004930,behavioral disorder
C0004933,behavior therapy
C0004936,mental illness
C0004941,behavioral symptoms
C0004943,Behcet's disease
C0004951,believes
C0004954,Belladonna Alkaloids
C0004963,Diphenhydramine
C0004991,Benign Colonic Tumor
C0005025,Benzalkonium
C0005038,lindane
C0005059,Benzocaine
C0005064,benzodiazepines
C0005070,Benzoin
C0005088,Benzyl peroxide
C0005098,benztropine 1
C0005117,berberine
C0005119,Bereavement
C0005122,beri-beri
C0005138,Berylliosis
C0005220,Lactase
C0005283,beta-thalassemia
C0005304,bromine
C0005308,withbetamethasone
C0005310,Betamethasone Acet
C0005320,Betaxolol
C0005353,bible
C0005367,HCO3
C0005382,biguanide
C0005388,bile
C0005395,bile duct disease
C0005398,extrahepatic biliary obstruction
C0005400,biliary ductal
C0005401,intrahepatic bile duct
C0005403,bile reflux
C0005416,biliary dyskinesia
C0005417,biliary fistula
C0005423,biliary tree
C0005424,biliary tract disease
C0005426,biliary tumor
C0005443,bilirubinuria
C0005491,biofeedback
C0005492,bioflavanoid
C0005507,Assay
C0005513,biological dressing
C0005516,biomarkers
C0005525,immunotherapy
C0005527,therapies
C0005551,periodicity
C0005557,bioprosthesis
C0005558,biopsies
C0005560,needle biopsy
C0005575,vitamin D
C0005586,bipolar illness
C0005587,"Depression, Bipolar"
C0005603,birth history
C0005604,birth trauma
C0005615,Birth
C0005632,Bisacodyl
C0005643,bismuth
C0005658,biting
C0005682,bladder
C0005683,bladder stones
C0005684,bladder ca
C0005686,bladder disease
C0005687,gallbladder distension
C0005689,bladder exstrophy
C0005694,bladder obstruction
C0005695,bladder tumor
C0005697,neurogenic bladder
C0005699,blast crisis
C0005700,explosion
C0005716,Blastomycosis
C0005729,bleeding times
C0005740,Bleomycin
C0005741,Blepharitis
C0005745,lid droop
C0005746,Tarsorrhaphy
C0005747,blepharospasm
C0005750,stasis syndrome
C0005758,bulla
C0005767,Bld
C0005768,blood
C0005771,blood cell counts
C0005774,blood chemistry
C0005775,circulatory
C0005779,coagulopathy
C0005789,coagulation factors
C0005790,coagulation studies
C0005791,diapheresis
C0005794,blood donations
C0005800,blood gas measurements
C0005803,home blood glucose monitoring
C0005818,platelet disorders
C0005822,good preservation
C0005824,blood pressure
C0005825,Blood Pressure Monitor
C0005826,abnormal blood pressure
C0005831,PROTEIN ELECTROPHORESIS
C0005835,blood stained
C0005841,transfusions
C0005843,fetal transfusions
C0005845,blood urea
C0005847,vascular
C0005850,blood volume
C0005854,BBB
C0005857,therapeutic phlebotomy
C0005858,eye bloodshot
C0005863,by Western Blot
C0005874,flushes
C0005887,Body Dysmorphic Disorder
C0005889,Body Fluid
C0005891,body images
C0005893,body mass index
C0005898,anatomical site
C0005904,temperature change
C0005905,body temperature regulated
C0005909,body water
C0005911,weight changes
C0005933,bone biopsy
C0005938,Mineral Density
C0005940,bone disease
C0005941,bone dysplasia
C0005944,metabolic bone disease
C0005954,bone marrow biopsy
C0005956,myelopathy
C0005959,marrow hyperplasia
C0005961,BMT
C0005967,bone tumor
C0005975,bone screws
C0005976,bone graft
C0005978,surgical wires
C0006002,booking
C0006009,borderline mental retardation
C0006012,Borderline Personality Disorder
C0006019,boredome
C0006020,Boric Acid
C0006042,bottle feedings
C0006050,botulinum toxin
C0006055,botulinum
C0006057,botulism
C0006086,brace
C0006087,brachial artery
C0006090,Brachial Plexus
C0006094,innominate artery
C0006095,brachiocephalic veins
C0006098,and brachytherapy
C0006101,bradykinin
C0006104,brain
C0006105,cerebral abscess
C0006106,in chemistry
C0006107,concussion
C0006109,chronic encephalopathy
C0006110,brain death
C0006111,Brain
C0006112,metabolic encephalopathy
C0006114,cerebral edema
C0006117,brain mapping
C0006118,brain tumors
C0006119,brain pathology
C0006121,brain stem
C0006123,branch retinal artery occlusion
C0006141,breast
C0006142,breast cancers
C0006145,mastopathy
C0006147,Nursing
C0006152,breast swelling
C0006153,BREATHING TESTS
C0006155,breathing exercise
C0006157,breech presentation
C0006159,breeding
C0006205,broad ligament
C0006208,Broca's area
C0006230,bromocriptine
C0006255,Bronch
C0006257,bronchial artery
C0006261,endobronchial disease
C0006264,bronchial tumor
C0006266,bronchospasm
C0006267,bronchiectasis
C0006270,bronchiolar
C0006271,bronchiolitis
C0006272,bronchiolitis obliterans
C0006277,Bronchitis
C0006279,Bronchial Lavage
C0006280,as bronchodilators
C0006282,bronchograms
C0006285,bronchopneumonia
C0006290,bronchoscopy
C0006309,brucellosis
C0006318,bruits
C0006323,Brunner's gland
C0006325,bruxism
C0006347,budge
C0006351,Bufexamac
C0006353,buffer
C0006370,bulimia
C0006376,Bumetanide
C0006382,His bundle
C0006384,bundle-branch block
C0006388,levobunolol
C0006400,Bupivacaine
C0006404,Subutex
C0006405,buprenophine
C0006413,Burkitt's lymphoma
C0006434,burn
C0006436,electrical burn
C0006437,Inhalation B
C0006444,Bursitis
C0006462,Buspirone
C0006463,busulfan
C0006491,butorphanol
C0006497,buttock
C0006625,cachectic
C0006635,Cadmium Poisoning
C0006644,-Caffeine
C0006655,calcaneal
C0006657,25-hydroxyvitamin D
C0006663,calcification
C0006664,calcinosis cutis
C0006666,calciphylaxis
C0006668,Calcitril
C0006674,Calcitriol
C0006675,CALCIUM
C0006681,Calcium Carbonate
C0006684,calcium-channel blocker
C0006686,calcium chloride
C0006698,antacid
C0006699,Calcium Gluconate
C0006711,calcium phosphate product
C0006716,CALCIUM PYROPHOSPHATE
C0006720,Calcium Sulfate
C0006724,Valproate Calcium
C0006736,calculi
C0006742,Cholelithiasis
C0006778,caloric test
C0006795,tamazepam
C0006809,-Camphor
C0006826,malignancy
C0006840,candidal infection
C0006842,Cutaneous candidiasis
C0006845,chronic mucocutaneous candidiasis
C0006846,cutaneous candidiasis
C0006848,"mucocutaneous
candidiasis"
C0006849,thrush
C0006852,vaginal candidiasis
C0006856,cane
C0006864,+ cannabinoids
C0006868,cannabis abuse
C0006895,capgras syndrome
C0006901,papillary
